"","NOME_REG","ANO","ESPVIDA","IDHM","IDHM_E","IDHM_L","IDHM_R"
"1","Barra / Jacarepaguá",2000,74.52,0.76,0.626,0.825,0.851
"2","Centro",2000,73,0.7,0.564,0.8,0.76
"3","Grande Tijuca",2000,75.55,0.828,0.748,0.843,0.9
"4","Ilha do Governador",2000,73.71,0.755,0.656,0.812,0.807
"5","Meier",2000,73.88,0.769,0.69,0.815,0.809
"6","Pavuna",2000,70.51,0.641,0.521,0.759,0.666
"7","Vigário",2000,72.6,0.696,0.58,0.793,0.733
"8","Zona Norte",2000,72.4,0.701,0.599,0.79,0.727
"9","Zona Sul",2000,76.51,0.843,0.724,0.859,0.963
"10","Zona Oeste",2000,71.26,0.661,0.545,0.771,0.686
"11","Maré",2000,69.5,0.562,0.385,0.742,0.623
"12","Barra / Jacarepaguá",2010,78.25,0.835,0.729,0.888,0.9
"13","Centro",2010,76.32,0.76,0.653,0.855,0.785
"14","Grande Tijuca",2010,79.22,0.885,0.818,0.904,0.937
"15","Ilha do Governador",2010,77.37,0.818,0.756,0.873,0.83
"16","Meier",2010,77.8,0.833,0.787,0.88,0.836
"17","Pavuna",2010,73.76,0.721,0.66,0.813,0.698
"18","Vigário",2010,75.87,0.762,0.692,0.848,0.754
"19","Zona Norte",2010,76.05,0.771,0.713,0.851,0.754
"20","Zona Sul",2010,79.86,0.901,0.801,0.914,1
"21","Zona Oeste",2010,74.49,0.742,0.686,0.825,0.723
"22","Maré",2010,73.25,0.674,0.575,0.804,0.661
